dataset,model,n_attacks,struct_attrs,n_cols,feat_attr,min_matching_syns,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,edge,500,all,1,True,1,True,0.006,0.0,0.0146
ego-facebook,ggsd,500,all,1,True,1,True,0.0039,0.0,0.0116
ego-facebook,grum,500,all,1,True,1,True,0.0199,0.0066,0.0333
ego-facebook,edge,500,all,1,True,2,True,0.1062,0.0784,0.134
ego-facebook,ggsd,500,all,1,True,2,True,0.1087,0.0787,0.1386
ego-facebook,grum,500,all,1,True,2,True,0.1684,0.1351,0.2017
ego-facebook,edge,500,all,1,True,3,True,0.1662,0.133,0.1993
ego-facebook,ggsd,500,all,1,True,3,True,0.0775,0.0506,0.1045
ego-facebook,grum,500,all,1,True,3,True,0.193,0.1581,0.228
ego-facebook,edge,500,all,1,True,4,True,0.118,0.089,0.1471
ego-facebook,ggsd,500,all,1,True,4,True,0.0845,0.0565,0.1125
ego-facebook,grum,500,all,1,True,4,True,0.1969,0.1617,0.2321
ego-facebook,edge,500,all,1,True,5,True,0.1383,0.1075,0.1692
ego-facebook,ggsd,500,all,1,True,5,True,0.0852,0.0573,0.1131
ego-facebook,grum,500,all,1,True,5,True,0.1811,0.147,0.2152
ego-facebook,edge,500,all,2,True,1,True,0.0204,0.0061,0.0347
ego-facebook,ggsd,500,all,2,True,1,False,0.0037,0.0,0.0116
ego-facebook,grum,500,all,2,True,1,True,0.0101,0.0,0.0217
ego-facebook,edge,500,all,2,True,2,True,0.0163,0.003,0.0296
ego-facebook,ggsd,500,all,2,True,2,True,0.0069,0.0,0.0168
ego-facebook,grum,500,all,2,True,2,True,0.0195,0.0049,0.034
ego-facebook,edge,500,all,2,True,3,True,0.0134,0.0017,0.0252
ego-facebook,ggsd,500,all,2,True,3,True,0.0094,0.0,0.0199
ego-facebook,grum,500,all,2,True,3,True,0.0315,0.0142,0.0487
ego-facebook,edge,500,all,2,True,4,True,0.015,0.0025,0.0275
ego-facebook,ggsd,500,all,2,True,4,True,0.0036,0.0,0.0115
ego-facebook,grum,500,all,2,True,4,True,0.0581,0.0357,0.0805
ego-facebook,edge,500,all,2,True,5,True,0.0153,0.0029,0.0277
ego-facebook,ggsd,500,all,2,True,5,True,0.0033,0.0,0.0114
ego-facebook,grum,500,all,2,True,5,True,0.0393,0.0205,0.0582
ego-facebook,edge,500,all,3,True,1,True,0.0362,0.0183,0.0541
ego-facebook,ggsd,500,all,3,True,1,False,0.0047,0.0,0.0139
ego-facebook,grum,500,all,3,True,1,True,0.0114,0.0,0.0238
ego-facebook,edge,500,all,3,True,2,True,0.0212,0.0061,0.0363
ego-facebook,ggsd,500,all,3,True,2,False,0.0027,0.0,0.011
ego-facebook,grum,500,all,3,True,2,True,0.0183,0.0034,0.0332
ego-facebook,edge,500,all,3,True,3,True,0.0177,0.0038,0.0317
ego-facebook,ggsd,500,all,3,True,3,False,0.0076,0.0,0.0172
ego-facebook,grum,500,all,3,True,3,True,0.0281,0.0109,0.0452
ego-facebook,edge,500,all,3,True,4,True,0.0403,0.0217,0.059
ego-facebook,ggsd,500,all,3,True,4,False,0.0,0.0,0.0051
ego-facebook,grum,500,all,3,True,4,True,0.0383,0.0193,0.0574
ego-facebook,edge,500,all,3,True,5,True,0.0335,0.0158,0.0511
ego-facebook,ggsd,500,all,3,True,5,True,0.0048,0.0,0.014
ego-facebook,grum,500,all,3,True,5,True,0.0459,0.0254,0.0665
ego-facebook,edge,500,all,4,True,1,True,0.0511,0.0301,0.072
ego-facebook,ggsd,500,all,4,True,1,True,0.0091,0.0,0.0196
ego-facebook,grum,500,all,4,True,1,True,0.021,0.0058,0.0362
ego-facebook,edge,500,all,4,True,2,True,0.0556,0.034,0.0771
ego-facebook,ggsd,500,all,4,True,2,True,0.0063,0.0,0.0164
ego-facebook,grum,500,all,4,True,2,True,0.0238,0.0074,0.0402
ego-facebook,edge,500,all,4,True,3,True,0.0276,0.0112,0.044
ego-facebook,ggsd,500,all,4,True,3,False,0.0096,0.0,0.0199
ego-facebook,grum,500,all,4,True,3,True,0.0372,0.0179,0.0565
ego-facebook,edge,500,all,4,True,4,True,0.0338,0.0163,0.0514
ego-facebook,ggsd,500,all,4,True,4,False,0.0027,0.0,0.011
ego-facebook,grum,500,all,4,True,4,True,0.0327,0.0149,0.0505
ego-facebook,edge,500,all,4,True,5,True,0.0295,0.0126,0.0463
