dataset,model,n_attacks,aux_cols,n_neighbors,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,False,0.0,0.0,0.4093
ego-facebook,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,False,0.0,0.0,0.4093
ego-facebook,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,False,0.0,0.0,0.4093
ego-facebook,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.521
ego-facebook,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,False,0.0,0.0,0.4093
ego-facebook,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.0034,0.0,0.6263
ego-facebook,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,False,0.0,0.0,0.4093
ego-facebook,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,False,0.0034,0.0,0.6263
ego-facebook,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,False,0.0,0.0,0.521
ego-facebook,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,False,0.0034,0.0,0.6263
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,False,0.0,0.0,0.4093
