dataset,model,n_attacks,n_cols,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,edge,500,1,False,0.004,0.0,0.0117
ego-facebook,grum,500,1,False,0.0,0.0,0.0054
ego-facebook,edge,500,2,True,0.0765,0.0499,0.103
ego-facebook,grum,500,2,False,0.059,0.0348,0.0832
ego-facebook,edge,500,3,True,0.0954,0.0664,0.1243
ego-facebook,grum,500,3,False,0.0535,0.0309,0.0761
ego-facebook,edge,500,4,True,0.097,0.0673,0.1267
ego-facebook,grum,500,4,False,0.0669,0.0423,0.0915
ego-facebook,edge,500,5,True,0.1162,0.084,0.1484
ego-facebook,grum,500,5,False,0.0596,0.0356,0.0837
ego-facebook,edge,500,6,True,0.1033,0.0725,0.134
ego-facebook,grum,500,6,False,0.0661,0.042,0.0903
ego-facebook,edge,500,7,True,0.1006,0.0715,0.1298
ego-facebook,grum,500,7,False,0.0562,0.0328,0.0796
ego-facebook,edge,500,8,True,0.0988,0.0694,0.1283
ego-facebook,grum,500,8,False,0.0554,0.0332,0.0776
ego-twitter,edge,500,1,False,0.0055,0.0,0.0143
ego-twitter,grum,500,1,False,0.0044,0.0,0.0137
ego-twitter,edge,500,2,True,0.1215,0.0901,0.1529
ego-twitter,grum,500,2,True,0.1104,0.0773,0.1434
ego-twitter,edge,500,3,True,0.1009,0.0713,0.1305
ego-twitter,grum,500,3,True,0.1112,0.076,0.1463
ego-twitter,edge,500,4,True,0.0984,0.0689,0.1279
ego-twitter,grum,500,4,True,0.1245,0.0885,0.1604
ego-twitter,edge,500,5,True,0.0953,0.0664,0.1243
ego-twitter,grum,500,5,True,0.131,0.0959,0.166
ego-twitter,edge,500,6,True,0.1131,0.0819,0.1444
ego-twitter,grum,500,6,True,0.1175,0.0827,0.1522
ego-twitter,edge,500,7,True,0.1037,0.073,0.1344
ego-twitter,grum,500,7,True,0.1249,0.0891,0.1608
ego-twitter,edge,500,8,True,0.0857,0.0579,0.1135
ego-twitter,grum,500,8,True,0.1232,0.0879,0.1584
elliptic,edge,500,1,False,0.0029,0.0,0.0111
elliptic,edge,500,2,True,0.0551,0.0284,0.0817
elliptic,edge,500,3,True,0.0458,0.0193,0.0722
elliptic,edge,500,4,True,0.0633,0.0369,0.0898
elliptic,edge,500,5,True,0.0327,0.009,0.0565
elliptic,edge,500,6,True,0.0398,0.0147,0.0648
elliptic,edge,500,7,True,0.0369,0.0133,0.0606
elliptic,edge,500,8,True,0.0465,0.0214,0.0716
ego-facebook,spectre,500,1,False,0.0,0.0,0.0091
ego-facebook,spectre,500,2,True,0.0465,0.008,0.0851
ego-facebook,spectre,500,3,True,0.037,0.0003,0.0737
ego-facebook,spectre,500,4,True,0.0322,0.0,0.0696
ego-facebook,spectre,500,5,True,0.0493,0.0111,0.0874
ego-facebook,spectre,500,6,True,0.0386,0.0008,0.0765
ego-facebook,spectre,500,7,True,0.053,0.014,0.0919
ego-facebook,spectre,500,8,True,0.0489,0.0094,0.0884
ego-twitter,spectre,500,1,False,0.004,0.0,0.0117
ego-twitter,spectre,500,2,True,0.0625,0.0245,0.1006
ego-twitter,spectre,500,3,True,0.0721,0.0336,0.1105
ego-twitter,spectre,500,4,True,0.0673,0.029,0.1055
ego-twitter,spectre,500,5,True,0.0607,0.0206,0.1007
ego-twitter,spectre,500,6,True,0.0912,0.0516,0.1309
ego-twitter,spectre,500,7,True,0.0677,0.0304,0.105
ego-twitter,spectre,500,8,True,0.0669,0.0277,0.1061
ego-twitter,gran,500,1,False,0.0004,0.0,0.008
ego-twitter,gran,500,2,False,0.0133,0.0,0.0275
ego-twitter,gran,500,3,True,0.0113,0.0,0.026
ego-twitter,gran,500,4,False,0.0169,0.0027,0.0311
ego-twitter,gran,500,5,False,0.0093,0.0,0.0224
ego-twitter,gran,500,6,False,0.0108,0.0,0.0256
ego-twitter,gran,500,7,False,0.0023,0.0,0.0139
ego-twitter,gran,500,8,False,0.0039,0.0,0.0149
elliptic,gran,500,1,False,0.0159,0.0037,0.0281
elliptic,gran,500,2,False,0.0,0.0,0.0155
elliptic,gran,500,3,False,0.0,0.0,0.0134
elliptic,gran,500,4,False,0.0,0.0,0.0076
elliptic,gran,500,5,False,0.0015,0.0,0.0188
elliptic,gran,500,6,False,0.0001,0.0,0.0167
elliptic,gran,500,7,False,0.003,0.0,0.0208
elliptic,gran,500,8,False,0.0,0.0,0.0151
