dataset,model,n_attacks,struct_attrs,embed,aux_cols,secret,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,edge,-1,all,False,feat,attr_0,True,0.9309,0.883,0.9789
ego-facebook,ggsd,-1,all,False,feat,attr_0,False,0.8126,0.7153,0.9099
ego-facebook,grum,-1,all,False,feat,attr_0,True,0.8335,0.7444,0.9226
ego-facebook,edge,-1,all,False,feat,attr_1,True,0.8592,0.7523,0.9662
ego-facebook,ggsd,-1,all,False,feat,attr_1,False,0.62,0.3648,0.8751
ego-facebook,grum,-1,all,False,feat,attr_1,True,0.7357,0.5544,0.9169
ego-facebook,edge,-1,all,False,feat,attr_2,True,0.615,0.4503,0.7797
ego-facebook,ggsd,-1,all,False,feat,attr_2,False,0.0,0.0,0.6294
ego-facebook,grum,-1,all,False,feat,attr_2,True,0.0,0.0,0.5885
ego-facebook,edge,-1,all,False,feat,attr_3,True,0.7498,0.6084,0.8912
ego-facebook,ggsd,-1,all,False,feat,attr_3,False,0.6465,0.4537,0.8392
ego-facebook,grum,-1,all,False,feat,attr_3,True,0.4896,0.2343,0.7449
ego-facebook,edge,-1,all,False,feat,attr_4,True,0.0854,0.0,0.5277
ego-facebook,ggsd,-1,all,False,feat,attr_4,True,0.0,0.0,0.2977
ego-facebook,grum,-1,all,False,feat,attr_4,True,0.0,0.0,0.0694
ego-facebook,edge,-1,all,False,feat,attr_5,True,0.6981,0.3959,1.0
ego-facebook,ggsd,-1,all,False,feat,attr_5,False,0.4936,0.0,1.0
ego-facebook,grum,-1,all,False,feat,attr_5,True,0.5361,0.0603,1.0
ego-facebook,edge,-1,all,False,feat,attr_6,True,0.8897,0.7653,1.0
ego-facebook,ggsd,-1,all,False,feat,attr_6,False,0.8616,0.7125,1.0
ego-facebook,grum,-1,all,False,feat,attr_6,True,0.9057,0.8021,1.0
ego-facebook,edge,-1,all,False,feat,attr_7,True,0.7125,0.6108,0.8142
ego-facebook,ggsd,-1,all,False,feat,attr_7,False,0.5401,0.4649,0.6153
ego-facebook,grum,-1,all,False,feat,attr_7,True,0.6019,0.5309,0.6728
ego-facebook,edge,-1,all,False,feat,attr_8,True,0.3876,0.2277,0.5475
ego-facebook,ggsd,-1,all,False,feat,attr_8,False,0.0,0.0,0.1513
ego-facebook,grum,-1,all,False,feat,attr_8,True,0.2333,0.0863,0.3803
ego-facebook,edge,-1,all,False,feat,attr_9,True,0.6818,0.5778,0.7858
ego-facebook,ggsd,-1,all,False,feat,attr_9,True,0.3932,0.3062,0.4802
ego-facebook,grum,-1,all,False,feat,attr_9,True,0.5194,0.4011,0.6376
ego-facebook,edge,-1,all,False,feat,attr_10,True,0.7218,0.5529,0.8908
ego-facebook,ggsd,-1,all,False,feat,attr_10,False,0.5742,0.2933,0.8551
ego-facebook,grum,-1,all,False,feat,attr_10,True,0.5437,0.2457,0.8417
ego-facebook,edge,-1,all,False,feat,attr_11,True,0.8574,0.7532,0.9616
ego-facebook,ggsd,-1,all,False,feat,attr_11,False,0.7553,0.6029,0.9078
ego-facebook,grum,-1,all,False,feat,attr_11,True,0.8111,0.6866,0.9357
ego-facebook,edge,-1,all,False,feat,attr_12,True,0.0,0.0,0.33
ego-facebook,ggsd,-1,all,False,feat,attr_12,False,0.0,0.0,0.0
ego-facebook,grum,-1,all,False,feat,attr_12,True,0.0,0.0,0.0817
ego-facebook,edge,-1,all,False,feat,attr_13,True,0.0,0.0,0.4124
ego-facebook,ggsd,-1,all,False,feat,attr_13,True,0.0,0.0,0.163
ego-facebook,grum,-1,all,False,feat,attr_13,True,0.0,0.0,0.2963
ego-facebook,edge,-1,all,False,feat,attr_14,True,0.4993,0.2892,0.7095
ego-facebook,ggsd,-1,all,False,feat,attr_14,False,0.0,0.0,0.4289
ego-facebook,grum,-1,all,False,feat,attr_14,True,0.1585,0.0,0.4906
ego-facebook,edge,-1,all,False,feat,attr_15,True,0.7888,0.653,0.9246
ego-facebook,ggsd,-1,all,False,feat,attr_15,False,0.733,0.5695,0.8965
ego-facebook,grum,-1,all,False,feat,attr_15,True,0.7442,0.5862,0.9021
ego-facebook,edge,-1,all,False,feat,attr_16,True,0.7725,0.6047,0.9402
ego-facebook,ggsd,-1,all,False,feat,attr_16,False,0.4601,0.08,0.8402
