dataset,model,n_attacks,struct_attrs,embed,aux_cols,n_neighbors,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,edge,-1,all,False,feat-feat,1,False,0.0,0.0,0.0021
ego-facebook,ggsd,-1,all,False,feat-feat,1,False,0.0,0.0,0.0021
ego-facebook,grum,-1,all,False,feat-feat,1,False,0.0,0.0,0.0021
ego-facebook,edge,-1,all,False,feat-feat,2,True,0.0,0.0,0.0032
ego-facebook,ggsd,-1,all,False,feat-feat,2,False,0.0,0.0,0.0021
ego-facebook,grum,-1,all,False,feat-feat,2,True,0.0,0.0,0.0032
ego-facebook,edge,-1,all,False,feat-feat,3,False,0.0,0.0,0.0021
ego-facebook,ggsd,-1,all,False,feat-feat,3,True,0.0,0.0,0.0032
ego-facebook,grum,-1,all,False,feat-feat,3,False,0.0,0.0,0.0032
ego-facebook,edge,-1,all,False,feat-feat,4,True,0.0,0.0,0.0043
ego-facebook,ggsd,-1,all,False,feat-feat,4,False,0.0,0.0,0.0021
ego-facebook,grum,-1,all,False,feat-feat,4,True,0.0,0.0,0.0032
ego-facebook,edge,-1,all,False,feat-feat,5,True,0.0,0.0,0.0087
ego-facebook,ggsd,-1,all,False,feat-feat,5,False,0.0,0.0,0.0001
ego-facebook,grum,-1,all,False,feat-feat,5,False,0.0,0.0,0.0021
ego-facebook,edge,-1,all,False,struct-struct,1,True,0.0,0.0,0.0109
ego-facebook,ggsd,-1,all,False,struct-struct,1,False,0.0,0.0,0.0021
ego-facebook,grum,-1,all,False,struct-struct,1,True,0.0,0.0,0.0032
ego-facebook,edge,-1,all,False,struct-struct,2,True,0.0,0.0,0.0032
ego-facebook,ggsd,-1,all,False,struct-struct,2,False,0.0,0.0,0.0012
ego-facebook,grum,-1,all,False,struct-struct,2,True,0.0,0.0,0.0118
ego-facebook,edge,-1,all,False,struct-struct,3,False,0.0,0.0,0.0021
ego-facebook,ggsd,-1,all,False,struct-struct,3,False,0.0,0.0,0.0
ego-facebook,grum,-1,all,False,struct-struct,3,True,0.0,0.0,0.012
ego-facebook,edge,-1,all,False,struct-struct,4,True,0.0,0.0,0.0
ego-facebook,ggsd,-1,all,False,struct-struct,4,False,0.0,0.0,0.0
ego-facebook,grum,-1,all,False,struct-struct,4,True,0.0,0.0,0.0
ego-facebook,edge,-1,all,False,struct-struct,5,False,0.0,0.0,0.0021
ego-facebook,ggsd,-1,all,False,struct-struct,5,False,0.0,0.0,0.0
ego-facebook,grum,-1,all,False,struct-struct,5,True,0.0062,0.0,0.0196
ego-facebook,edge,-1,all,False,feat-struct,1,False,0.0,0.0,0.0021
ego-facebook,ggsd,-1,all,False,feat-struct,1,False,0.0,0.0,0.0021
ego-facebook,grum,-1,all,False,feat-struct,1,False,0.0,0.0,0.0021
ego-facebook,edge,-1,all,False,feat-struct,2,False,0.0,0.0,0.0021
ego-facebook,ggsd,-1,all,False,feat-struct,2,False,0.0,0.0,0.0021
ego-facebook,grum,-1,all,False,feat-struct,2,False,0.0,0.0,0.0021
ego-facebook,edge,-1,all,False,feat-struct,3,False,0.0,0.0,0.0021
ego-facebook,ggsd,-1,all,False,feat-struct,3,False,0.0,0.0,0.0021
ego-facebook,grum,-1,all,False,feat-struct,3,False,0.0,0.0,0.0021
ego-facebook,edge,-1,all,False,feat-struct,4,True,0.0,0.0,0.0032
ego-facebook,ggsd,-1,all,False,feat-struct,4,False,0.0,0.0,0.0021
ego-facebook,grum,-1,all,False,feat-struct,4,False,0.0,0.0,0.0021
ego-facebook,edge,-1,all,False,feat-struct,5,True,0.0,0.0,0.0032
ego-facebook,ggsd,-1,all,False,feat-struct,5,False,0.0,0.0,0.0021
ego-facebook,grum,-1,all,False,feat-struct,5,False,0.0,0.0,0.0021
ego-facebook,edge,-1,all,False,random,1,False,0.0,0.0,0.0021
ego-facebook,ggsd,-1,all,False,random,1,False,0.0,0.0,0.0021
ego-facebook,grum,-1,all,False,random,1,False,0.0,0.0,0.0021
ego-facebook,edge,-1,all,False,random,2,True,0.0,0.0,0.0016
ego-facebook,ggsd,-1,all,False,random,2,False,0.0,0.0,0.0012
ego-facebook,grum,-1,all,False,random,2,True,0.0,0.0,0.0075
ego-facebook,edge,-1,all,False,random,3,True,0.0052,0.0,0.0272
