dataset,model,n_attacks,struct_attrs,embed,n_cols,feat_attr,min_matching_syns,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,edge,500,[],False,1,True,1,True,0.0,0.0,0.93
ego-facebook,ggsd,500,[],False,1,True,1,True,0.0,0.0,0.0648
ego-facebook,grum,500,[],False,1,True,1,True,0.0,0.0,0.1364
ego-facebook,edge,500,[],False,1,True,2,True,0.0,0.0,0.93
ego-facebook,ggsd,500,[],False,1,True,2,True,0.0,0.0,0.068
ego-facebook,grum,500,[],False,1,True,2,True,0.0,0.0,0.1706
ego-facebook,edge,500,[],False,1,True,3,True,0.0,0.0,0.93
ego-facebook,ggsd,500,[],False,1,True,3,True,0.0,0.0,0.0851
ego-facebook,grum,500,[],False,1,True,3,True,0.0,0.0,0.1951
ego-facebook,edge,500,[],False,1,True,4,True,0.0,0.0,0.93
ego-facebook,ggsd,500,[],False,1,True,4,True,0.0,0.0,0.0908
ego-facebook,grum,500,[],False,1,True,4,True,0.0,0.0,0.1951
ego-facebook,edge,500,[],False,1,True,5,True,0.0,0.0,0.93
ego-facebook,ggsd,500,[],False,1,True,5,True,0.0,0.0,0.0973
ego-facebook,grum,500,[],False,1,True,5,True,0.0,0.0,0.1951
ego-facebook,edge,500,[],False,2,True,1,True,0.9493,0.8983,1.0
ego-facebook,ggsd,500,[],False,2,True,1,False,0.0,0.0,0.0029
ego-facebook,grum,500,[],False,2,True,1,True,0.0411,0.0133,0.069
ego-facebook,edge,500,[],False,2,True,2,True,0.949,0.8978,1.0
ego-facebook,ggsd,500,[],False,2,True,2,False,0.0,0.0,0.0029
ego-facebook,grum,500,[],False,2,True,2,True,0.0425,0.0123,0.0727
ego-facebook,edge,500,[],False,2,True,3,True,0.9476,0.895,1.0
ego-facebook,ggsd,500,[],False,2,True,3,False,0.0,0.0,0.0029
ego-facebook,grum,500,[],False,2,True,3,True,0.0501,0.0164,0.0837
ego-facebook,edge,500,[],False,2,True,4,True,0.9503,0.9004,1.0
ego-facebook,ggsd,500,[],False,2,True,4,False,0.0,0.0,0.0039
ego-facebook,grum,500,[],False,2,True,4,True,0.0548,0.0201,0.0895
ego-facebook,edge,500,[],False,2,True,5,True,0.9464,0.8927,1.0
ego-facebook,ggsd,500,[],False,2,True,5,False,0.0,0.0,0.0041
ego-facebook,grum,500,[],False,2,True,5,True,0.0479,0.013,0.0827
ego-facebook,edge,500,[],False,3,True,1,True,0.996,0.992,1.0
ego-facebook,ggsd,500,[],False,3,True,1,False,0.0,0.0,0.0
ego-facebook,grum,500,[],False,3,True,1,True,0.0133,0.0,0.0337
ego-facebook,edge,500,[],False,3,True,2,True,0.996,0.9919,1.0
ego-facebook,ggsd,500,[],False,3,True,2,False,0.0,0.0,0.001
ego-facebook,grum,500,[],False,3,True,2,True,0.0246,0.0014,0.0479
ego-facebook,edge,500,[],False,3,True,3,True,0.996,0.9919,1.0
ego-facebook,ggsd,500,[],False,3,True,3,False,0.0,0.0,0.0
ego-facebook,grum,500,[],False,3,True,3,True,0.0132,0.0,0.0365
ego-facebook,edge,500,[],False,3,True,4,True,0.996,0.9919,1.0
ego-facebook,ggsd,500,[],False,3,True,4,False,0.0,0.0,0.0053
ego-facebook,grum,500,[],False,3,True,4,True,0.0304,0.0037,0.0571
ego-facebook,edge,500,[],False,3,True,5,True,0.996,0.9919,1.0
ego-facebook,ggsd,500,[],False,3,True,5,False,0.0,0.0,0.0001
ego-facebook,grum,500,[],False,3,True,5,True,0.0098,0.0,0.0338
ego-facebook,edge,500,[],False,4,True,1,True,0.996,0.992,1.0
ego-facebook,ggsd,500,[],False,4,True,1,False,0.0,0.0,0.0
ego-facebook,grum,500,[],False,4,True,1,True,0.0254,0.0,0.0524
ego-facebook,edge,500,[],False,4,True,2,True,0.996,0.992,1.0
ego-facebook,ggsd,500,[],False,4,True,2,False,0.0,0.0,0.0
ego-facebook,grum,500,[],False,4,True,2,True,0.0291,0.0034,0.0548
ego-facebook,edge,500,[],False,4,True,3,True,0.996,0.992,1.0
ego-facebook,ggsd,500,[],False,4,True,3,False,0.0,0.0,0.0
ego-facebook,grum,500,[],False,4,True,3,True,0.0316,0.0051,0.0581
ego-facebook,edge,500,[],False,4,True,4,True,0.996,0.9919,1.0
ego-facebook,ggsd,500,[],False,4,True,4,False,0.0,0.0,0.003
ego-facebook,grum,500,[],False,4,True,4,True,0.0308,0.0024,0.0592
ego-facebook,edge,500,[],False,4,True,5,True,0.996,0.9919,1.0
ego-facebook,ggsd,500,[],False,4,True,5,False,0.0,0.0,0.0019
ego-facebook,grum,500,[],False,4,True,5,True,0.044,0.0144,0.0736
ego-facebook,edge,500,[],False,5,True,1,True,0.996,0.992,1.0
