dataset,type,model,degree,wavelet,spectre,clustering,motif,orbit,roc_auc
ego-facebook,attr,edge,0.0661,0.1489,0.0324,0.9612,0.5043,0.51,0.6619
ego-facebook,attr,ggsd,0.3235,0.2441,0.0986,1.4824,0.5377,0.5159,0.6071
ego-facebook,attr,grum,0.0458,0.0338,0.0179,0.7773,0.5105,0.51,0.871
ego-twitter,attr,edge,0.042,0.0727,0.0365,0.5938,0.514,0.51,0.7794
ego-twitter,attr,ggsd,0.4192,0.2502,0.0776,1.1035,0.5475,0.5308,0.6255
ego-twitter,attr,grum,0.0437,0.0289,0.0159,0.5157,0.5115,0.51,0.7708
elliptic,attr,edge,0.0755,0.0838,0.0812,0.0284,0.2933,1.0278,0.6985
elliptic,attr,ggsd,0.1908,0.1596,0.1813,0.0805,0.3764,0.5065,0.6604
ego-facebook,unattr,edge,0.0135,0.0354,0.0287,0.1219,0.1355,0.1135,0.8521
ego-facebook,unattr,grum,0.0245,0.0096,0.0151,0.1196,0.1441,0.1078,0.9016
ego-twitter,unattr,edge,0.0025,0.0091,0.004,0.025,0.0192,0.02,0.7821
ego-twitter,unattr,grum,0.0114,0.0059,0.0048,0.0226,0.0196,0.02,0.7996
elliptic,unattr,edge,0.0435,0.0617,0.0457,0.0134,0.0172,0.0619,0.9219
ego-facebook,attr,spectre,0.1421,0.1804,0.4023,0.6476,0.7273,0.51,0.5503
ego-facebook,unattr,spectre,0.0337,0.0276,0.0152,0.2297,0.1307,0.11,0.8306
ego-twitter,attr,spectre,0.0556,0.0478,0.0357,0.5237,0.5114,0.51,0.6979
ego-twitter,unattr,spectre,0.0065,0.0079,0.0018,0.0226,0.0209,0.02,0.7863
ego-twitter,unattr,gran,0.1141,0.097,0.1074,0.0257,0.0202,0.02,0.8119
elliptic,unattr,gran,0.3305,0.3367,0.2468,0.9615,0.6735,0.0647,0.8126
